CustomerID,SubscriptionType,StartDate,EndDate
8420,Premium,2023-03-13,2024-10-16
5956,Basic,2023-05-06,2024-06-06
2096,Premium,2023-01-20,2024-04-02
5385,Basic,2022-12-27,2023-08-12
5212,Basic,2023-08-29,2024-06-02
5021,Premium,2023-02-04,2024-10-06
5326,Premium,2023-07-28,2024-04-08
9558,Basic,2023-05-06,2023-06-09
4901,Basic,2023-03-22,2024-02-27
1348,Basic,2023-04-28,2023-12-07
1569,Premium,2023-10-08,2024-04-04
1649,Premium,2022-12-11,2023-12-24
2669,Basic,2023-06-21,2024-01-03
1915,Basic,2023-04-25,2023-05-08
3586,Basic,2022-12-02,2024-09-11
6910,Basic,2023-09-21,2024-06-21
1384,Basic,2023-05-28,2023-06-18
4511,Premium,2022-12-28,2024-05-30
8221,Basic,2023-10-02,2024-08-06
2029,Basic,2022-09-25,2024-07-25
8232,Basic,2023-08-16,2024-05-05
6071,Basic,2023-05-23,2024-03-18
5450,Premium,2023-04-26,2023-08-02
6907,Premium,2022-12-16,2022-12-18
3551,Basic,2023-10-08,2024-05-31
1662,Basic,2022-10-05,2024-10-02
3287,Premium,2022-11-09,2023-11-13
8454,Premium,2022-09-12,2024-10-15
4413,Premium,2023-09-28,2024-07-26
3642,Basic,2022-11-25,2024-06-19
3849,Premium,2023-06-06,2024-06-03
3545,Basic,2023-07-11,2024-02-11
4311,Premium,2022-11-06,2024-09-29
5535,Basic,2023-02-27,2024-03-09
2585,Premium,2022-09-21,2024-05-07
8933,Premium,2023-06-10,2024-09-30
9883,Basic,2023-02-12,2023-11-29
3676,Basic,2023-06-27,2023-12-13
2514,Basic,2022-11-28,2024-05-26
3601,Basic,2023-08-05,2024-02-03
3041,Basic,2023-04-12,2024-03-18
6294,Premium,2023-07-03,2024-04-16
9967,Premium,2022-09-02,2024-05-04
5526,Premium,2023-05-08,2024-04-08
2084,Premium,2023-05-03,2024-07-18
7006,Basic,2023-06-21,2024-01-08
9327,Premium,2023-04-11,2024-10-19
1784,Basic,2023-10-27,2024-03-22
5052,Premium,2022-12-18,2024-03-29
6758,Premium,2023-10-17,2023-12-31
4437,Premium,2023-06-11,2024-09-02
9577,Basic,2023-03-29,2023-03-31
7644,Basic,2023-09-02,2024-05-05
8333,Basic,2023-03-16,2023-06-27
6812,Premium,2023-11-01,2024-08-21
8319,Basic,2022-12-22,2024-05-28
1404,Basic,2023-08-14,2024-04-17
6390,Basic,2023-06-14,2024-08-04
7765,Basic,2023-07-13,2024-04-14
6667,Basic,2023-09-17,2024-06-14
7878,Basic,2023-06-09,2024-03-11
6440,Basic,2023-05-23,2024-01-14
7947,Premium,2023-07-04,2024-10-21
9625,Premium,2022-12-04,2024-01-01
5756,Basic,2023-04-07,2024-08-16
6954,Basic,2023-08-26,2024-07-30
6296,Premium,2023-01-14,2024-06-23
1937,Premium,2022-11-24,2024-07-12
6466,Basic,2023-04-13,2024-05-17
2148,Basic,2023-09-25,2024-07-08
3928,Premium,2022-11-26,2023-11-18
2344,Premium,2022-09-02,2024-08-20
8570,Basic,2022-10-09,2024-09-09
7638,Basic,2022-09-06,2024-09-05
6801,Basic,2023-08-20,2024-04-22
7306,Basic,2023-10-24,2024-07-28
9164,Premium,2023-06-26,2024-03-28
7164,Basic,2022-10-11,2024-07-21
6818,Premium,2023-07-24,2023-11-14
9652,Premium,2022-10-07,2024-06-18
